State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
HI,1095.211403508772,1374.0533333333333,1189.4684210526316,1369.0206896551724,1283.6201754385966,1293.5783018867924,1965.4095652173912,1520.3017543859648,1721.9132075471698,1392.5490384615384,1374.2626086956523,1180.462,1049.8340206185567,1320.4988235294118,906.425974025974,1161.8261904761905,1623.559756097561,1777.3544303797469,1559.0708860759494
ID,835.3421686746988,673.3423312883435,611.3327044025157,561.0623529411765,558.4058139534884,639.992485549133,666.0398809523809,717.0804878048781,782.476,600.3781818181818,695.1,662.9345029239767,735.2694736842105,715.6505434782608,776.3129032258064,531.5777173913043,768.7438502673797,645.6947674418604,717.9644808743169
IL,1123.4455445544554,910.9635416666666,1006.3965174129353,993.4056074766355,965.1891891891892,941.6947368421053,996.1767772511848,791.4467336683417,1023.9588235294118,946.8150627615063,1260.0750943396226,1274.4562913907284,1027.1659863945579,1133.9469465648856,746.7743421052631,1052.6759615384615,1046.3877022653721,1192.2672354948807,1006.9009900990098
IN,1150.681118881119,891.5191780821917,1088.3901515151515,1115.7294964028777,1064.3578947368421,1186.9688,1089.4543307086615,1057.0689075630253,1303.4983471074381,1062.9269938650307,1282.5555555555557,1177.7748792270531,960.2900900900901,1391.7815315315315,868.762660944206,1159.2639269406393,1113.2205607476635,1203.343661971831,1112.8917050691243
IA,1013.4852348993288,817.5835443037975,764.2571428571429,880.4178082191781,749.6227848101266,735.8943396226415,902.8613496932516,770.2267515923567,833.1535031847134,1078.9312883435582,1112.600578034682,1031.0632183908046,1137.1793103448276,814.4150326797386,665.2194117647059,891.528735632184,1000.9191616766467,1104.6025906735752,993.2337016574586
KS,885.2651452282157,818.8943820224719,669.7847328244275,751.915294117647,616.363503649635,686.9747252747253,833.4240458015267,811.0275471698113,664.6536082474227,911.1233438485805,925.3604651162791,852.9974431818182,745.7878712871287,636.7429429429429,519.5117794486216,780.9278606965174,673.5951282051282,854.3436408977556,851.5515662650603
KY,1236.3412213740457,947.2021428571428,1124.336440677966,1146.0365384615384,1343.7619047619048,1409.877659574468,1428.9076086956522,1023.0872093023256,1357.880612244898,1092.0330097087378,1212.5785714285714,1391.0818965517242,1106.8664,1663.8256637168142,1119.918181818182,1427.3760330578511,1221.8869565217392,1516.5196261682242,1270.7688679245282
LA,1601.702614379085,1224.5772727272727,1215.532298136646,1738.0830409356724,1658.1614457831326,1348.803896103896,1826.8802469135803,1245.69,1411.1755102040815,1314.561403508772,1439.0632352941177,1656.7164285714287,1079.7496644295302,1101.5216,1618.0362962962963,1576.5471014492753,1481.1531746031746,1754.4973684210527,1814.8191304347827
ME,1193.964705882353,1159.9791666666667,1103.768253968254,761.685294117647,1062.2260273972602,1147.9260273972602,968.9418918918919,1599.2394366197184,1350.786301369863,1214.3807692307691,1465.1760563380283,1323.6909090909091,1338.804705882353,1289.710752688172,1250.1218390804597,1171.7428571428572,1332.2,1103.4074074074074,1065.96875
MD,1063.7727272727273,1102.52,1072.7133333333334,903.8193548387097,1051.332258064516,1544.3111111111111,1194.2875,1118.4758620689656,1146.328947368421,926.1127659574469,1155.184375,1355.8910447761193,1081.1741935483872,1365.8460317460317,1071.6265625,1193.2109589041097,1221.9,1231.1373134328358,1093.157894736842
MA,1308.6163265306122,1136.1507936507937,1246.4532258064517,1029.8295081967212,1171.4354166666667,1307.864,1162.1229166666667,1413.6145833333333,1348.4826923076923,1120.4166666666667,1465.8854545454546,1308.7017857142857,1306.9826086956523,1464.6923076923076,1055.4060240963856,1158.1317647058825,1260.6084337349398,1041.7369047619047,958.3666666666667
MI,769.7284482758621,782.1560975609756,827.5288,874.1629032258064,755.1897810218978,800.5489208633094,891.0072463768116,763.237984496124,930.0808219178082,790.5574324324324,956.5711538461538,867.6638888888889,783.9128712871287,988.2567415730337,784.4831578947368,990.3149484536083,932.0556701030928,821.3632653061225,920.4221674876848
MN,772.8,773.4376811594203,729.4787878787879,785.97578125,775.4161538461539,577.7174603174603,809.0526315789474,830.2213675213675,631.8046153846154,802.9463087248322,711.993893129771,708.3821705426357,915.5375,674.0153846153846,711.8868571428571,799.7071428571429,816.8029239766082,816.9281609195402,964.8922155688623
MS,1489.6982608695653,1233.8330188679245,1123.3685185185186,1686.84,1736.2777777777778,1549.9555555555555,1696.5158878504674,1290.3413793103448,1329.2865546218488,1025.088785046729,1496.0857142857144,1718.7216,1174.690510948905,1343.8601503759398,1529.4931818181817,1646.4486666666667,1505.3925170068028,1568.1114503816793,1430.4253731343283
MO,1273.0832258064515,947.8013157894737,919.3490445859873,1108.443537414966,1016.3992857142857,1027.1457142857143,1152.674820143885,929.6125827814569,952.0703703703704,1019.4944262295082,1445.635076923077,1312.594984326019,1152.1914705882352,1154.3858657243816,786.996996996997,1161.8095238095239,1008.628064516129,1418.1337423312884,1001.8867283950617
MT,588.9274809160305,514.4494661921708,460.5845588235294,437.08661971830986,507.6740614334471,518.035593220339,520.0234042553192,594.5366037735849,555.1763250883392,514.2939393939394,576.9493243243244,522.3888157894737,624.7022653721683,714.6146017699115,560.4825396825397,566.4023972602739,649.8395683453238,499.06512455516014,591.9861386138614
NE,713.3916279069767,622.5148148148148,541.4316037735849,670.9521052631579,434.2456852791878,544.644623655914,611.5876344086022,604.1719887955182,592.4523690773067,785.8986784140969,760.8546436285097,654.4786885245902,707.1049783549784,671.3062780269058,372.82721088435375,608.2592105263158,666.5923787528868,757.1896694214876,675.8933962264151
NV,506.3021052631579,279.3956140350877,340.4114583333333,301.5483870967742,257.35051546391753,333.83917525773194,386.88780487804877,500.8559523809524,388.9658823529412,281.0527472527473,288.92571428571426,307.3705426356589,455.62032520325204,324.5889908256881,323.2128,237.58153846153846,338.9405797101449,388.3829931972789,413.6735294117647
NH,1190.6606060606061,1145.128260869565,1190.0513513513513,848.2868421052632,1101.571794871795,1243.571794871795,1060.9131578947367,1516.2526315789473,1452.7341463414634,1196.1690476190477,1515.8119047619048,1271.146,1257.3090909090909,1423.3421875,1117.0338235294118,1147.5119402985074,1246.6178082191782,1078.2216666666666,983.7433333333333
NJ,1092.464705882353,1231.308888888889,1141.6608695652174,905.7916666666666,1163.1906976744185,1463.2282051282052,1254.75,1226.8058823529411,1294.2945945945946,1230.407894736842,1217.3777777777777,1345.7426229508196,1171.402857142857,1702.1197530864197,1091.0,1198.9845360824743,1267.3171717171717,1103.7372549019608,1009.0168316831683
