State,Year,dni,precipitation,snowfall,temperature,windspeed,potential_hydro_cap,potential_hydro_gen,total_state_area,total_coal_consumption,total_natural_gas_consumption,prime_supplier_residual_oil
IN,2016,4.637571681459249,1112.8917050691243,570.3295454545455,12.385733333333333,34.90909090909091,582,3132,36420.0,36084770.0,754276.0,0.0
IA,1998,4.423008736442844,1013.4852348993288,641.7547169811321,10.505825242718446,41.6,738,3876,56273.0,0.0,232057.0,5.3
IA,1999,5.203405425329491,817.5835443037975,843.9171974522293,9.797570093457944,45.15384615384615,738,3876,56273.0,0.0,230691.0,8.1
IA,2000,4.6432042025553235,764.2571428571429,1156.0536912751677,9.278673469387755,45.214285714285715,738,3876,56273.0,0.0,232565.0,0.0
IA,2001,4.771127939038881,880.4178082191781,432.80536912751677,9.46375,44.266666666666666,738,3876,56273.0,21305012.0,224336.0,0.0
IA,2002,4.968661950091245,749.6227848101266,475.3831168831169,9.56843137254902,45.6,738,3876,56273.0,21503566.0,226457.0,0.0
IA,2003,4.929286566294916,735.8943396226415,759.0263157894736,8.881919191919192,44.4,738,3876,56273.0,21680437.0,230161.0,0.0
IA,2004,4.562131810261662,902.8613496932516,747.0584415584416,9.210392156862746,45.13333333333333,738,3876,56273.0,21873260.0,226819.0,28.3
IA,2005,4.723025713912176,770.2267515923567,810.6344827586207,9.812843137254902,42.93333333333333,738,3876,56273.0,21072097.0,241340.0,26.0
IA,2006,4.509069947231799,833.1535031847134,308.4516129032258,10.264545454545454,44.733333333333334,738,3876,56273.0,21236435.0,238454.0,7.0
IA,2007,4.754414113993213,1078.9312883435582,1133.458064516129,9.42640350877193,44.57142857142857,738,3876,56273.0,23018606.0,293274.0,3.1
IA,2008,4.504786834110732,1112.600578034682,1205.9333333333334,7.717155963302752,43.583333333333336,738,3876,56273.0,24733785.0,325772.0,4.2
IA,2009,4.38568244879325,1031.0632183908046,1013.9333333333333,8.205576923076922,41.86666666666667,738,3876,56273.0,22606894.0,315186.0,0.0
IA,2010,4.846067735063998,1137.1793103448276,951.7602739726027,8.938476190476191,41.0,738,3876,56273.0,24779702.0,311075.0,0.0
IA,2011,4.505370922977062,814.4150326797386,761.5263157894736,9.03357142857143,43.166666666666664,738,3876,56273.0,22676769.0,306909.0,0.0
IA,2012,5.26418173504369,665.2194117647059,613.2,11.080892857142857,42.57142857142857,738,3876,56273.0,20747246.0,295183.0,0.0
IA,2013,4.7068715999393245,891.528735632184,1045.3232323232323,8.130392156862746,44.0,738,3876,56273.0,19517281.0,326140.0,0.0
IA,2014,4.541421993064302,1000.9191616766467,912.2743362831858,7.478163265306122,46.285714285714285,738,3876,56273.0,19705132.0,329385.0,0.0
IA,2015,4.835496230440184,1104.6025906735752,936.0204081632653,9.613490566037736,44.333333333333336,738,3876,56273.0,16840440.0,317821.0,0.0
IA,2016,4.831996752484355,993.2337016574586,640.3828125,10.450576923076923,44.333333333333336,738,3876,56273.0,14289311.0,330094.0,0.0
KS,1998,5.589517358362299,885.2651452282157,247.32411067193675,13.518918918918919,47.8,2479,14931,82278.0,0.0,326674.0,0.0
KS,1999,5.899770835879639,818.8943820224719,276.7951807228916,13.26943396226415,45.578947368421055,2479,14931,82278.0,0.0,302932.0,0.0
KS,2000,5.732951397424783,669.7847328244275,414.234309623431,12.967450980392156,45.85,2479,14931,82278.0,0.0,312369.0,23.5
KS,2001,5.857052098090319,751.915294117647,378.94,13.292111111111112,44.095238095238095,2479,14931,82278.0,20150017.0,272500.0,45.6
KS,2002,5.851232650159201,616.363503649635,335.6542750929368,12.788252427184466,45.72727272727273,2479,14931,82278.0,22659637.0,304992.0,42.0
