State,Year,annual_average_dni,annual_average_precipitation,annual_average_snowfall,annual_average_temperature,annual_average_windspeed,annual_gdp,annual_revenue_of_electricity_providers,annual_subsidies,average_electricity_price,prime_supplier_residual_oil,total_coal_consumption,total_natural_gas_consumption,potential_hydro_cap,potential_hydro_gen,total_state_area,producer_price_index,electricity_generated_from_biomass,electricity_generated_from_coal,electricity_generated_from_geothermal,electricity_generated_from_hydroelectrical,electricity_generated_from_natural_gas,electricity_generated_from_others,electricity_generated_from_other_gases,electricity_generated_from_petroleum,electricity_generated_from_pump_storage,electricity_generated_from_solar_and_photovoltaics,electricity_generated_from_wind,electricity_generated_from_wood_and_wood_derivatives,renewable_energy_percentage
IL,2017,5.310025,1000.4165625,243.96521739130435,11.992524271844662,39.388888888888886,322969.3,20539776000,-1002.1,7.5520000000000005,239.82,34224429,1017772,573.0,3092.0,57914.0,192.92307692307693,494985.0,58185848.0,0.0,129357.0,14071275.0,256344.0,180098.0,49347,0.0,0.0,0.0,0.0,0.8509818290323364
IL,2018,5.310025,1167.5396825396824,684.6637168141592,10.901531531531534,37.833333333333336,332156.8,21484023000,-1126.5,7.627999999999999,252.28,35493118,1108592,573.0,3092.0,57914.0,201.6153846153846,452727.0,59763992.0,0.0,144093.0,16031408.0,230551.0,200817.0,66729,0.0,0.0,0.0,0.0,0.7761965658172537
IL,2019,5.310025,1294.7547770700635,850.22,10.745882352941177,38.647058823529406,337636.1,20751652000,-1542.2,7.598,230.09,29161359,1134722,573.0,3092.0,57914.0,199.46153846153845,418741.0,48842090.0,0.0,130663.0,18916293.0,240183.0,260889.0,40406,0.0,0.0,0.0,0.0,0.7979809225269144
RI,2017,5.310025,1240.138888888889,1256.2727272727273,10.853,35.333333333333336,52727.7,1741516000,-176.6,12.894,239.82,0,92061,13.0,73.0,1545.0,192.92307692307693,203691.0,0.0,0.0,2372.0,4820588.0,0.0,0.0,44332,0.0,0.0,0.0,0.0,4.063571106430449
RI,2018,5.310025,1577.695238095238,1382.2727272727273,10.918,36.0,53135.5,1943680000,-171.7,14.097999999999999,252.28,0,101796,13.0,73.0,1545.0,201.6153846153846,211030.0,0.0,0.0,4100.0,6684006.0,0.0,0.0,67341,0.0,0.0,0.0,0.0,3.0880745030809695
RI,2019,5.310025,1463.1277777777775,975.875,10.408888888888887,35.666666666666664,53668.0,1908924000,-173.7,14.334000000000001,230.09,0,99301,13.0,73.0,1545.0,199.46153846153845,207790.0,0.0,0.0,3640.0,7237254.0,0.0,0.0,17835,0.0,0.0,0.0,0.0,2.83170778779241
MN,2017,5.310025,800.8968911917099,795.1538461538463,6.2384375,38.86666666666667,327667.5,6897622000,-1425.1,10.27,239.82,13359389,451979,516.0,2870.0,86936.0,192.92307692307693,663642.0,23332563.0,0.0,1257150.0,7138994.0,396232.0,0.0,43266,0.0,0.0,10884720.0,1352087.0,31.413405423645443
MN,2018,5.310025,854.9056701030928,1780.7560975609756,5.012601626016259,37.384615384615394,337215.9,7121914000,-1740.2,10.37,252.28,13812648,490169,516.0,2870.0,86936.0,201.6153846153846,584866.0,23397828.0,0.0,1205856.0,9170015.0,405719.0,0.0,40288,0.0,0.0,11346349.0,1179635.0,30.24833682494666
MN,2019,5.310025,1019.3243523316063,2079.625,4.286165413533834,37.53333333333333,341041.4,6915058000,-2333.4,10.33,230.09,10767336,509061,516.0,2870.0,86936.0,199.46153846153845,381193.0,18206287.0,0.0,886728.0,10372307.0,354279.0,0.0,46549,0.0,0.0,11040440.0,969565.0,31.42157903520117
CT,2017,5.310025,1159.7446808510638,1370.111111111111,10.567,31.75,248077.1,7610317000,-593.0,13.974,239.82,137443,239818,141.0,807.0,5543.0,192.92307692307693,586131.0,197508.0,0.0,259884.0,15566967.0,546887.0,0.0,115683,1797.0,0.0,0.0,0.0,4.907780133867388
CT,2018,5.310025,1627.1065217391306,1450.0454545454545,10.287058823529412,31.375,249043.3,7982157000,-609.3,14.616,252.28,220578,277931,141.0,807.0,5543.0,201.6153846153846,500720.0,329700.0,0.0,395347.0,19742542.0,464733.0,0.0,379167,3471.0,0.0,0.0,0.0,4.123355311409042
CT,2019,5.310025,1433.1045454545456,1047.2857142857142,9.831176470588234,31.25,251329.8,7740150000,-623.0,14.762,230.09,47528,283408,141.0,807.0,5543.0,199.46153846153845,482188.0,53051.0,0.0,521501.0,21186918.0,578186.0,0.0,80836,2155.0,0.0,0.0,0.0,4.391404696868587
MO,2017,5.310025,1076.1521341463415,73.50381679389314,13.819217391304347,37.111111111111114,101071.7,7672172000,-508.1,10.03,239.82,39513370,261993,2450.0,14145.0,69707.0,192.92307692307693,87666.0,67522540.0,0.0,1399751.0,4253450.0,3654.0,0.0,65915,99724.0,0.0,0.0,0.0,2.1613545464077992
MO,2018,5.310025,1088.4422077922077,261.88461538461536,12.77705357142857,35.647058823529406,102061.7,8148136000,-565.2,9.93,252.28,37060029,322805,2450.0,14145.0,69707.0,201.6153846153846,103914.0,59934020.0,0.0,1399238.0,6840945.0,764.0,0.0,91645,46907.0,0.0,0.0,0.0,2.2655907011302223
MO,2019,5.310025,1389.9678294573646,437.7254901960785,12.69970873786408,36.625,102656.4,7636141000,-833.6,9.68,230.09,32764874,316378,2450.0,14145.0,69707.0,199.46153846153845,64007.0,55686325.0,0.0,763573.0,7331606.0,0.0,0.0,79411,336744.0,0.0,0.0,0.0,1.811848450987872
MS,2017,5.310025,1604.96484375,40.20588235294117,18.992916666666666,27.09090909090909,279264.3,4348025000,-1123.7,9.09,239.82,3864960,526862,1112.0,6361.0,48432.0,192.92307692307693,12977.0,4628230.0,0.0,0.0,46994320.0,1855.0,0.0,11902,0.0,0.0,0.0,1471741.0,2.7949724238190057
MS,2018,5.310025,1775.7285714285715,34.62162162162162,18.416976744186044,25.66666666666667,284696.3,4655357000,-1285.0,9.24,252.28,4505890,576888,1112.0,6361.0,48432.0,201.6153846153846,15517.0,5280044.0,0.0,0.0,49492794.0,0.0,0.0,28504,0.0,0.0,0.0,1451141.0,2.606557901471529
MS,2019,5.310025,1804.0046511627909,2.303030303030303,18.696285714285715,25.222222222222218,287659.3,4542721000,-1873.4,9.28,230.09,3833217,570154,1112.0,6361.0,48432.0,199.46153846153845,15539.0,4414340.0,0.0,0.0,49629732.0,0.0,0.0,13713,0.0,0.0,0.0,1405654.0,2.561678407269867
SD,2017,5.310025,481.58333333333326,804.1034482758621,8.218,46.07142857142857,46023.9,1237570000,-1017.9,10.05,239.82,1354935,80890,112.0,633.0,77116.0,192.92307692307693,0.0,2062462.0,0.0,4495380.0,745606.0,0.0,0.0,4658,0.0,0.0,3154070.0,0.0,73.11528691545621
SD,2018,5.310025,644.9348571428571,1663.4594594594596,6.744636363636364,44.8,47287.0,1281530000,-1187.6,9.97,252.28,1493490,89464,112.0,633.0,77116.0,201.6153846153846,0.0,2379603.0,0.0,5164548.0,998859.0,0.0,0.0,4518,0.0,0.0,2765546.0,0.0,70.09672172214201
SD,2019,5.310025,865.2224137931033,2158.514285714285,5.8030188679245285,45.66666666666666,47559.7,1281412000,-1422.5,9.96,230.09,1689836,91362,112.0,633.0,77116.0,199.46153846153845,0.0,2617073.0,0.0,5619584.0,1349523.0,0.0,0.0,10186,0.0,0.0,3014564.0,0.0,68.46559294199555
TN,2017,5.310025,1487.5189655172414,95.22077922077924,15.262258064516127,25.1,314849.9,9185018000,-747.1,9.45,239.82,14545543,321644,869.0,4908.0,42144.0,192.92307692307693,88573.0,27715901.0,0.0,7613828.0,10374699.0,20791.0,11648.0,123830,-686154.0,0.0,0.0,843063.0,17.04611002356105
TN,2018,5.310025,1739.4128630705395,151.60526315789474,14.82037037037037,24.7,323316.8,9861200000,-733.9,9.58,252.28,10358841,392161,869.0,4908.0,42144.0,201.6153846153846,94757.0,20966713.0,0.0,9685084.0,12888842.0,9821.0,11175.0,128248,-619844.0,0.0,0.0,879451.0,22.79400531016003
TN,2019,5.310025,1757.648260869565,41.680555555555564,15.35504854368932,24.2,328406.3,9677835000,-939.6,9.69,230.09,9361950,402277,869.0,4908.0,42144.0,199.46153846153845,80466.0,18696666.0,0.0,9857011.0,16614374.0,4537.0,12033.0,141058,-615360.0,0.0,0.0,849403.0,22.286323623382096
NC,2017,5.310025,1290.733220338983,361.4929577464789,15.861962025316455,27.5,113754.2,11880971000,-1118.4,9.04,239.82,13460656,502567,796.0,4697.0,53819.0,192.92307692307693,557022.0,34457955.0,0.0,4716110.0,39650882.0,577380.0,0.0,230615,0.0,0.0,0.0,2076050.0,8.933436351978838
NC,2018,5.310025,1834.433445945946,426.5568181818182,15.322913907284768,26.83333333333333,115087.9,12796899000,-1040.1,9.25,252.28,12599223,582418,796.0,4697.0,53819.0,201.6153846153846,615479.0,31681106.0,0.0,5001487.0,44079319.0,535069.0,0.0,496651,0.0,0.0,0.0,2044025.0,9.071292509493077
NC,2019,5.310025,1384.767405063291,27.618556701030933,15.927058823529412,27.944444444444446,117395.2,12892934000,-1549.2,9.45,230.09,12362994,556490,796.0,4697.0,53819.0,199.46153846153845,570766.0,30729803.0,0.0,6207177.0,41777442.0,537783.0,0.0,231912,0.0,0.0,0.0,1954710.0,10.648331104386774
IN,2017,5.310025,1173.8868421052632,338.6421052631579,12.10025641025641,36.91666666666666,168976.5,9673171000,-1158.3,9.77,239.82,35551968,720453,582.0,3132.0,36420.0,192.92307692307693,434678.0,72486582.0,0.0,467931.0,18438312.0,306075.0,3134904.0,126013,0.0,0.0,0.0,0.0,0.9461856263299051
IN,2018,5.310025,1258.1531400966182,572.0,11.453205128205127,36.7,172844.7,10161425000,-1574.6,9.75,252.28,39143963,854024,582.0,3132.0,36420.0,201.6153846153846,472079.0,77501351.0,0.0,342435.0,25354316.0,320665.0,2049320.0,131332,0.0,0.0,0.0,0.0,0.7671682281434891
IN,2019,5.310025,1269.07990430622,678.4888888888888,11.281184210526314,36.1,173515.4,10113765000,-2566.2,9.91,230.09,31003596,894471,582.0,3132.0,36420.0,199.46153846153845,409757.0,60782416.0,0.0,194489.0,32217710.0,333486.0,2288087.0,125026,0.0,0.0,0.0,0.0,0.6271301614594003
NY,2017,5.310025,1221.8788018433181,2359.528301886793,9.07451923076923,34.642857142857146,51291.2,31335161000,-1183.4,11.5,239.82,242182,1237311,1809.0,10192.0,54555.0,192.92307692307693,1614926.0,770295.0,0.0,29065182.0,48294737.0,903476.0,0.0,654976,-415671.0,0.0,3943886.0,666504.0,40.790077127956366
NY,2018,5.310025,1275.709649122807,2464.478260869565,8.861176470588235,34.653846153846146,53472.8,32091840000,-1308.0,11.485999999999999,252.28,271938,1350443,1809.0,10192.0,54555.0,201.6153846153846,1656914.0,690386.0,0.0,30910609.0,50604760.0,895779.0,0.0,1477290,-430718.0,0.0,4383410.0,641972.0,40.913819802316844
NY,2019,5.310025,1217.0363636363636,2084.0256410256407,8.317757009345794,34.607142857142854,53930.2,29920659000,-1682.4,11.094000000000001,230.09,186750,1312031,1809.0,10192.0,54555.0,199.46153846153845,1429142.0,421951.0,0.0,29540508.0,49315300.0,965454.0,0.0,491615,-315589.0,0.0,4849870.0,466349.0,41.267074018580935
KY,2017,5.310025,1306.7651785714286,82.93023255813954,14.378524590163936,28.777777777777782,184600.8,6226850000,-537.9,8.57,239.82,27671332,283678,662.0,3242.0,40408.0,192.92307692307693,0.0,57236509.0,0.0,4464904.0,9391096.0,0.0,0.0,515480,0.0,0.0,0.0,347480.0,6.688003103697372
KY,2018,5.310025,1666.54,379.46511627906983,13.95,28.33333333333333,187507.4,6524890000,-532.2,8.52,252.28,28566789,340125,662.0,3242.0,40408.0,201.6153846153846,0.0,59168143.0,0.0,4722899.0,14605519.0,0.0,0.0,87531,0.0,0.0,0.0,374922.0,6.456287562050863
KY,2019,5.310025,1564.7899082568808,167.9736842105263,14.21532258064516,28.11111111111111,190811.5,6484356000,-722.5,8.61,230.09,25167530,336191,662.0,3242.0,40408.0,199.46153846153845,0.0,51714431.0,0.0,4006900.0,14820531.0,0.0,0.0,64253,0.0,0.0,0.0,342698.0,6.130614193644086
OK,2017,5.310025,989.731797235023,43.047619047619044,16.553457943925235,43.9375,188157.2,4962910000,-609.6,8.2,239.82,10939560,664233,1147.0,5837.0,69899.0,192.92307692307693,0.0,17370737.0,0.0,2860801.0,31629583.0,0.0,0.0,16097,-117610.0,0.0,0.0,230816.0,5.720297645581809
OK,2018,5.310025,1008.6455399061032,15.481481481481481,15.66970297029703,45.153846153846146,193204.7,5224240000,-668.5,8.09,252.28,9541239,807023,1147.0,5837.0,69899.0,201.6153846153846,0.0,14906747.0,0.0,2391743.0,41881971.0,0.0,0.0,17982,-135051.0,0.0,0.0,252389.0,4.230039557263859
OK,2019,5.310025,1112.8951351351352,56.20833333333334,15.484854368932039,43.53846153846154,197900.4,5092299000,-806.1,7.86,230.09,5205509,835139,1147.0,5837.0,69899.0,199.46153846153845,0.0,7826059.0,0.0,1823671.0,44658127.0,0.0,0.0,17356,-104059.0,0.0,0.0,235820.0,3.5907834320724463
OR,2017,5.310025,1375.6686930091187,834.5820895522388,8.860824372759856,28.13636363636364,209581.3,4545849000,-712.0,5.757999999999999,239.82,1031022,247206,4492.0,25013.0,98379.0,192.92307692307693,351877.0,1728103.0,0.0,36642562.0,12116065.0,39246.0,0.0,10335,0.0,0.0,6506086.0,688330.0,76.0793283303896
OR,2018,5.310025,940.3680851063831,461.6144578313253,9.171267123287672,27.142857142857146,219279.9,4510093000,-734.2,5.834,252.28,897821,255713,4492.0,25013.0,98379.0,201.6153846153846,356621.0,1473684.0,0.0,36729205.0,17644249.0,34094.0,0.0,4950,0.0,0.0,7137096.0,672045.0,70.09149792549621
OR,2019,5.310025,1015.385064935065,749.7333333333332,8.390071174377223,25.863636363636363,225336.8,4596804000,-791.0,5.93,230.09,1499340,288976,4492.0,25013.0,98379.0,199.46153846153845,336461.0,2569160.0,0.0,29525527.0,21090795.0,35773.0,0.0,4782,0.0,0.0,7168734.0,739892.0,61.444482453257244
PA,2017,5.310025,1161.0521739130436,998.2666666666668,10.714051724137931,31.363636363636363,695560.8,23155780000,-1901.0,8.14,239.82,24384201,1350245,2418.0,13140.0,46054.0,192.92307692307693,1938122.0,47649977.0,0.0,2724431.0,59448553.0,863255.0,598856.0,349022,-605294.0,0.0,3378962.0,573091.0,6.850309797874981
PA,2018,5.310025,1664.254337899543,1269.1465517241381,10.188318584070798,30.380952380952376,708856.9,23884240000,-1971.1,8.078,252.28,23502780,1460456,2418.0,13140.0,46054.0,201.6153846153846,1873110.0,44147852.0,0.0,3530419.0,76820108.0,798304.0,411358.0,598719,-659143.0,0.0,3615437.0,471691.0,6.7104763617642735
PA,2019,5.310025,1320.2602040816325,821.6785714285713,10.365660377358493,30.65217391304348,726165.9,22380321000,-2079.5,7.816,230.09,20743451,1612589,2418.0,13140.0,46054.0,199.46153846153845,1675140.0,38775548.0,0.0,4039747.0,98400586.0,873083.0,521110.0,235357,-565629.0,0.0,3548793.0,423024.0,6.165939862171928
MA,2017,5.310025,1222.858762886598,1488.9454545454544,10.0982,37.29411764705883,55964.7,14262389000,-162.0,13.71,239.82,558920,448996,176.0,1012.0,10554.0,192.92307692307693,1055222.0,1136318.0,0.0,825466.0,21341446.0,832188.0,0.0,250107,-443012.0,0.0,0.0,138227.0,6.269515366071926
MA,2018,5.310025,1565.595283018868,1562.7096774193549,9.936326530612245,36.23529411764706,57302.7,15679244000,-169.0,14.78,252.28,0,438577,176.0,1012.0,10554.0,201.6153846153846,1066131.0,0.0,0.0,1135495.0,18796093.0,854594.0,0.0,474486,-463783.0,0.0,0.0,130883.0,8.4965653429617
