,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20,ME,7.65,8.6,9.05,9.1,9.63,9.49,9.46,9.51,9.75,9.77,7.688,8.444,8.234,6.953999999999999,7.058,7.634,8.624,11.209999999999999,10.992,10.76,10.52,10.248000000000001,9.638,9.596,10.16,10.042,10.006,10.115999999999998,10.282,10.594
21,MI,7.1,7.21,7.23,7.14,7.09,7.05,7.1,7.04,7.09,4.965,4.858,5.206,5.104,4.78,5.3340000000000005,5.58,6.244000000000001,6.2780000000000005,7.205999999999999,7.134,7.168000000000001,7.209999999999999,7.289999999999999,7.212000000000001,7.175999999999999,6.9,7.046000000000001,7.211999999999999,7.296000000000001,7.328
22,MN,5.33,5.46,5.52,5.6,5.63,5.58,5.54,5.61,5.71,5.83,5.87,5.97,5.8,6.01,6.24,6.61,6.98,7.44,7.79,8.14,8.41,8.65,8.86,9.41,9.52,9.53,9.99,10.27,10.37,10.33
23,MO,6.46,6.46,6.41,6.33,6.28,6.25,6.11,6.84,6.745,4.2375,6.02,6.03,6.09,6.02,6.07,6.13,6.3,6.56,6.84,7.35,7.78,8.32,8.53,9.04,9.11,9.44,9.74,10.03,9.93,9.68
24,MS,6.11,6.02,6.03,6.18,6.05,5.98,6.01,5.91,5.98,5.65,5.85,6.26,6.24,6.46,7.0,7.54,8.33,8.03,8.99,8.85,8.59,8.78,8.6,9.11,9.6,9.53,8.67,9.09,9.24,9.28
25,MT,3.96,4.14,4.19,4.36,4.51,4.65,4.72,5.2,4.640000000000001,3.57,4.944,5.856,3.904,4.182,4.348000000000001,4.578,4.716,4.97,5.646,5.236,5.34,5.284,5.112,5.367999999999999,5.386000000000001,5.35,5.178,5.264,5.284,5.537999999999999
26,NC,6.38,6.47,6.6,6.63,6.62,6.58,6.53,6.48,6.45,6.44,6.48,6.58,6.74,6.86,6.97,7.19,7.53,7.83,7.96,8.48,8.67,8.645,9.15,9.24,9.33,9.37,9.2,9.04,9.25,9.45
27,ND,5.75,5.76,5.81,5.83,5.77,5.71,5.65,5.65,5.7,5.49,5.44,5.48,5.45,5.47,5.69,5.92,6.21,6.42,6.69,6.63,7.11,7.5,7.83,8.2,8.41,8.75,8.94,8.78,8.91,8.85
28,NE,5.57,5.48,5.53,5.54,5.49,5.4,5.32,5.3,5.3,5.31,5.31,5.39,5.55,5.64,5.7,5.87,6.07,6.28,6.58,7.21,7.52,7.88,8.37,8.74,8.84,8.91,9.05,9.08,9.02,9.08
29,NH,9.09,9.13,9.97,10.85,11.32,11.72,11.59,9.135,9.515,7.3025,8.792,8.3,8.432,7.138,7.636,8.738,10.636000000000001,10.91,11.886,11.947999999999999,11.376000000000001,10.916,10.614,10.790000000000001,11.484,12.132000000000001,11.906,12.367999999999999,13.392,13.459999999999999
30,NJ,9.08,9.46,9.51,9.99,10.06,10.44,10.5,10.54,10.17,6.8774999999999995,7.552,6.984,6.9879999999999995,7.308,7.877999999999998,8.632,9.292,10.148,11.285999999999998,10.965999999999998,11.278000000000002,11.145999999999999,10.698,10.791999999999998,11.064,10.808,10.472000000000001,10.459999999999999,10.372,10.485999999999999
31,NM,7.1,7.14,7.12,7.23,7.11,6.77,6.76,6.8,6.78,4.6425,4.695,7.16,6.73,7.0,7.1,7.51,7.37,7.44,8.35,8.09,8.4,8.74,8.83,9.25,9.65,9.62,9.12,9.59,9.35,8.99
32,NV,5.38,5.6,5.69,5.87,6.37,6.1,5.95,5.6,5.76,5.93,6.17,7.86,8.42,8.29,5.45,6.486,6.426,6.790000000000001,6.965999999999999,6.604000000000001,6.198,5.694,5.675999999999999,5.638,6.203999999999999,5.786,5.204,5.408,5.268,5.392
33,NY,9.37,9.79,10.19,10.72,10.92,11.06,11.13,8.86,9.045,7.0024999999999995,9.474,9.888,9.436,9.398,9.458,10.59,11.866,11.84,12.854,12.112,12.804000000000002,12.398,11.876,12.023999999999997,12.648,11.966,11.344,11.5,11.486,11.094000000000001
34,OH,5.89,6.11,6.06,6.22,6.19,6.24,6.3,6.25,6.38,78.795,3.6640000000000006,5.11,5.7700000000000005,5.904000000000001,5.978,6.191999999999999,6.314,6.428,6.816,7.0280000000000005,7.2,7.0699999999999985,7.1579999999999995,7.292,7.7540000000000004,7.965999999999999,7.882,7.914,7.992,7.703999999999999
35,OK,5.48,5.78,5.8,5.96,5.84,5.57,5.56,5.42,5.43,5.37,5.88,6.1,5.59,6.35,6.5,6.85,7.3,7.29,7.81,6.94,7.59,7.8,7.54,7.86,8.18,7.9,7.83,8.2,8.09,7.86
