State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IN,229.85616438356163,613.9589041095891,832.4710743801653,183.75193798449612,487.6136363636364,751.4954954954954,590.6283185840708,594.8108108108108,178.16101694915255,704.96,786.078947368421,626.2016129032259,830.9274193548387,879.7037037037037,572.3174603174604,751.2,1203.9634146341464,781.3846153846154,570.3295454545455
IA,641.7547169811321,843.9171974522293,1156.0536912751677,432.80536912751677,475.3831168831169,759.0263157894736,747.0584415584416,810.6344827586207,308.4516129032258,1133.458064516129,1205.9333333333334,1013.9333333333333,951.7602739726027,761.5263157894736,613.2,1045.3232323232323,912.2743362831858,936.0204081632653,640.3828125
KS,247.32411067193675,276.7951807228916,414.234309623431,378.94,335.6542750929368,386.42857142857144,311.40234375,347.50199203187253,264.96153846153845,670.7615894039735,334.990625,463.17703349282294,322.93835616438355,652.5862068965517,167.22058823529412,802.1645569620254,563.9690721649484,236.99428571428572,175.61111111111111
KY,235.37593984962405,114.41911764705883,219.59615384615384,98.29906542056075,245.4857142857143,288.79787234042556,175.7625,89.36904761904762,146.49462365591398,101.56842105263158,210.41666666666666,204.97701149425288,535.0537634408602,321.4,196.04444444444445,229.46808510638297,472.8205128205128,617.4102564102565,462.35
LA,0.7784810126582279,0.0,5.803571428571429,17.934131736526947,1.072289156626506,0.9872611464968153,1.5886075949367089,0.3048780487804878,0.0,0.0594059405940594,5.900763358778626,1.9421487603305785,27.142857142857142,31.714285714285715,0.0,0.6956521739130435,11.782608695652174,54.6,0.0
ME,1489.46875,1597.5692307692307,2315.425925925926,2404.0163934426228,1922.0,2159.7419354838707,1170.3103448275863,2679.406779661017,931.5625,3084.7272727272725,3014.280701754386,2144.8571428571427,1558.0298507462687,2534.9285714285716,1744.2727272727273,2375.3260869565215,2349.0625,2467.404255319149,1835.125
MD,184.12121212121212,438.6333333333333,616.4285714285714,320.89285714285717,394.5925925925926,1143.45,370.39285714285717,462.6923076923077,214.1081081081081,462.6046511627907,154.03125,629.9285714285714,1436.4615384615386,650.3636363636364,177.0,646.875,1368.0,843.7058823529412,975.6875
MA,463.48936170212767,924.7560975609756,921.8536585365854,1636.025,1307.7333333333333,1961.375,968.75,2398.9285714285716,783.1818181818181,1285.5365853658536,1264.2619047619048,1407.175,965.8222222222222,1577.076923076923,589.7058823529412,1685.8823529411766,1386.9411764705883,2241.0,1116.5833333333333
MI,1216.844827586207,1742.3482142857142,2322.390909090909,1457.8446601941748,1725.3652173913044,1692.929203539823,2174.8813559322034,2233.5585585585586,1362.9236641221373,1923.7883211678832,2857.7872340425533,1934.483660130719,1278.9518072289156,1877.3255813953488,1646.1463414634147,2770.2285714285713,2609.756097560976,1516.448275862069,2301.4257425742576
MN,956.4173228346457,1011.456,1307.4672897196263,1193.377049180328,935.4672131147541,1046.1238938053098,996.775,1333.5405405405406,689.8461538461538,1413.9473684210527,1522.4561403508771,1361.2357723577236,1280.7571428571428,1142.322033898305,921.5322580645161,1803.45,1446.0470588235294,846.4444444444445,1031.963963963964
MS,22.504273504273506,0.6822429906542056,34.3,8.342105263157896,5.611111111111111,1.456140350877193,9.62962962962963,0.27472527472527475,6.557522123893805,3.611111111111111,25.762376237623762,13.00909090909091,40.916666666666664,67.1,0.0,15.491228070175438,23.58,49.775510204081634,3.0
MO,139.10493827160494,249.81560283687944,417.2097902097902,115.23841059602648,320.013986013986,412.9130434782609,199.57042253521126,148.0709219858156,190.99401197604791,260.1225165562914,219.28125,273.59354838709675,460.2638036809816,652.875,158.30769230769232,691.1944444444445,508.1857142857143,319.9259259259259,121.13861386138613
MT,943.6081081081081,899.876404494382,1176.7957746478874,767.4261363636364,1239.0674846625766,1399.1907514450868,823.2095808383234,1017.3219178082192,831.6590909090909,948.5112359550562,1565.0882352941176,1462.9506172839506,1421.469512195122,1693.3709677419354,1199.655172413793,1433.2307692307693,1823.8108108108108,1043.8026315789473,966.5368421052632
NE,589.6342592592592,537.8018867924528,631.6323529411765,732.7111111111111,641.3858695652174,693.3276836158192,710.5657142857143,580.8411214953271,592.1220657276996,779.55938697318,557.5137254901961,972.4462809917355,469.1185185185185,777.5641025641025,406.6127450980392,723.8706896551724,680.2008928571429,616.4408602150538,667.8872180451128
NV,460.8688524590164,486.375,482.12307692307695,665.1014492753624,330.1,387.77142857142854,487.17857142857144,715.7592592592592,637.2280701754386,527.7096774193549,817.8382352941177,766.24,1067.1525423728813,635.625,659.2295081967213,453.78688524590166,297.34285714285716,523.5844155844156,768.4477611940298
NH,1294.9714285714285,1453.325,2249.6969696969695,2702.1935483870966,2254.7272727272725,2767.064516129032,1178.2903225806451,2612.766666666667,1155.8,2778.151515151515,2738.6486486486488,2127.170731707317,1655.5714285714287,2608.3636363636365,1454.16,2303.757575757576,2186.3142857142857,2277.0,1664.96875
NJ,140.75757575757575,206.3,686.8421052631579,625.8888888888889,444.65714285714284,1189.4583333333333,513.4736842105264,961.6363636363636,383.8695652173913,300.3076923076923,266.625,739.4814814814815,1307.0434782608695,696.421052631579,212.11764705882354,492.94117647058823,1167.5333333333333,778.7142857142857,664.0416666666666
NM,356.09027777777777,405.03521126760563,527.1138211382114,693.6641221374045,352.48920863309354,338.1240310077519,699.280701754386,559.1068702290077,543.224043715847,501.97087378640776,453.7938144329897,526.900826446281,691.0,549.16,396.7111111111111,427.3777777777778,267.8,564.8965517241379,137.24324324324326
NY,977.1390728476821,1807.1081081081081,2175.763358778626,1950.7295081967213,2088.175,2425.557894736842,1732.4732142857142,2510.4752475247524,1122.3106796116506,2532.7340425531916,2345.625,1607.4363636363637,1756.509090909091,2266.9302325581393,1392.591836734694,2384.5223880597014,2574.277777777778,2031.1444444444444,1878.878260869565
NC,123.14685314685315,75.97857142857143,258.1640625,73.5187969924812,118.7062937062937,213.1969696969697,205.6201550387597,121.3529411764706,62.68027210884354,46.65986394557823,78.59183673469387,190.37012987012986,425.61486486486484,171.58620689655172,77.12,125.24,337.5357142857143,228.96875,218.78787878787878
ND,1070.1491228070176,933.6509433962265,1107.1807228915663,661.7738095238095,1066.2933333333333,1023.7260273972603,867.7808219178082,924.3037974683544,699.4814814814815,802.3684210526316,1117.2631578947369,1490.3522727272727,1494.657894736842,1249.0625,828.7857142857143,1534.7777777777778,757.65,662.6896551724138,1038.923076923077
OH,158.1769230769231,767.2155172413793,688.1747572815534,266.65546218487395,506.625,1060.0731707317073,669.438202247191,864.7613636363636,226.3586956521739,772.1860465116279,875.8470588235294,579.3978494623656,969.28,974.2352941176471,721.3414634146342,972.2162162162163,1361.046511627907,957.0238095238095,739.290909090909
OK,52.88235294117647,88.00552486187846,291.0176470588235,145.18709677419355,181.53284671532847,193.36170212765958,84.78,81.51020408163265,162.0,165.28571428571428,52.469026548672566,212.99107142857142,163.20118343195267,351.15384615384613,98.23529411764706,291.6875,208.0,177.6153846153846,32.76190476190476
OR,633.5379746835443,772.3726708074535,536.1558441558442,499.8758620689655,489.24827586206897,454.6666666666667,511.0425531914894,421.44776119402985,654.697247706422,493.325,983.2619047619048,452.3881578947368,536.3575757575758,976.421052631579,1113.5641025641025,404.9512195121951,388.0444444444444,260.685393258427,462.4404761904762
PA,453.0,909.9370629370629,946.1333333333333,787.3481481481482,953.1515151515151,1693.95,1072.751879699248,1528.248120300752,436.9072847682119,1192.9155844155844,973.641975308642,992.2933333333333,1470.6824324324325,1291.8245614035088,715.8,1069.7586206896551,1363.65625,1052.409090909091,993.4642857142857
RI,226.0,919.0,754.0,1026.3333333333333,715.3333333333334,1538.6,823.0,1987.6,661.2,806.6,878.0,1334.5,741.5714285714286,1376.0,756.0,1345.2857142857142,1143.8333333333333,1998.0,925.7142857142857
