State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NE,5.343949801374126,5.7667957295102905,5.551817207631515,5.658713262768934,5.828412196729388,5.503157696505515,5.327136227688366,5.501125445041945,5.420064526418897,5.428053759483404,5.446157705929069,4.868308241771298,5.331103959304246,5.40845161133528,5.943580648626086,5.442419355600503,5.460598565442217,5.432899669534233,5.752752711200749,5.752752711200749,5.752752711200749,5.752752711200749
MI,4.399697968170064,4.610720998819561,4.212626811270547,4.1904924985296965,4.27024390674894,4.23018243433553,3.973340447622116,4.217454074796587,4.0640614749636645,4.218721027586426,4.041119944860107,3.9760160336562036,4.308057502772926,4.098811903285305,4.464906111783008,4.0261516901769525,3.9246134300923723,4.212418324423477,4.408400945517214,4.408400945517214,4.408400945517214,4.408400945517214
ID,4.816542102353599,5.383765173800629,5.333577136156843,5.387402555851652,5.511871722552739,5.465774213293764,5.12032071277651,5.394295615712013,5.373672310914365,5.469098163041536,5.4218585369197445,5.2230213360016755,4.887071008871141,5.1123662251520035,5.046753405263265,5.298090788620258,5.3199772499677405,5.33649450611681,5.409258001008744,5.409258001008744,5.409258001008744,5.409258001008744
IL,4.380486552047267,5.097085519008376,4.488134855921321,4.803449207627568,4.656409472320454,4.638315518627179,4.487710971115987,4.637689259534453,4.360615029746997,4.659805704255421,4.36823122990757,4.158773197450721,4.806927315977641,4.276687286471179,5.152431967964636,4.626513035086413,4.469766358851839,4.51180732529106,4.80786191577683,4.80786191577683,4.80786191577683,4.80786191577683
RI,4.520830242452832,4.895547176415101,4.572000062264153,4.972301903773591,4.684301801886795,4.17283021320754,4.308905696226412,4.515849112264154,4.2045283301886744,4.578113218867926,4.351924530188676,4.200226474528297,4.655773514150946,4.472150971698112,4.669358433962267,4.647396152830191,4.568830259433964,4.714415046226419,5.155698138679251,5.155698138679251,5.155698138679251,5.155698138679251
MN,4.615338686170977,4.8676083236454115,4.629113526913535,4.703316582386311,4.765792129328508,4.794137684573012,4.274194404421395,4.475623696647828,4.471090711318017,4.480476757983888,4.590508213240522,4.2784217237653674,4.629021251916475,4.5271733796948554,4.660403227442062,4.3019546132161945,4.468253264916485,4.680219135792547,4.623565526432893,4.623565526432893,4.623565526432893,4.623565526432893
CT,4.496930249894292,4.935526462367868,4.534071924524313,4.901733636997884,4.638900602536993,4.068634228541234,4.268194573995772,4.4713572701902775,4.239475717547567,4.550460935306549,4.310156505496835,4.147585624312901,4.594350945031715,4.369369961733616,4.617285399577166,4.592219881606763,4.50900637103594,4.699585568498948,5.079830875264275,5.079830875264275,5.079830875264275,5.079830875264275
MO,4.657999323893338,5.343568807232346,4.8607908127915245,5.103787780888755,5.00127071160864,4.8469618034810384,4.7204163129775925,4.9126029017405495,4.817876301960225,4.874636041382295,4.511537671105117,4.427095620750211,4.9956133966204845,4.744156802906452,5.440452888391716,4.8396377026361845,4.830289957147782,4.721697853193814,5.200254152517793,5.200254152517793,5.200254152517793,5.200254152517793
MS,5.045821854851525,5.748419892762488,5.184579027836642,5.108226941808014,4.729215216490028,4.679859975954505,4.758349903658607,5.105331928738055,5.192729608960712,4.9104687324231255,4.973567353472959,4.6772067639183845,5.469639503367067,5.234207858191961,5.222176055302224,4.821855755646924,5.053896089209939,4.690848325715885,5.375363765190973,5.375363765190973,5.375363765190973,5.375363765190973
SD,5.093446330584495,5.534199367894433,5.273171641020997,5.449682369998749,5.410285249125684,5.15880906318788,5.1276735501210045,5.2615418857103355,5.084676248258349,5.10609641345099,5.129683511090616,4.772618205261135,5.029042528835577,5.048991910194839,5.482745928792993,4.965645389577793,5.080553973311556,5.244755880165038,5.491768533797979,5.491768533797979,5.491768533797979,5.491768533797979
TN,4.6310876541560795,5.364112366638355,4.781923393191536,4.982726822581587,4.5527761494184515,4.421290234156021,4.359339583858163,4.624599152765969,4.673981263687971,4.860888512255323,4.617906374723452,4.1784170272907515,4.968129362865259,4.587084245418465,5.026403412680849,4.4776510780709184,4.704946363687999,4.568347234212806,5.272912348680845,5.272912348680845,5.272912348680845,5.272912348680845
NC,4.921632070746869,5.261457433643575,5.0337695172750925,5.244592693629258,4.876667157361041,4.465202564757799,4.620861820114617,4.748501064328403,5.005165364590759,5.14292342040084,4.8471581942019215,4.452409447936045,5.353099535504832,5.043138163135258,4.871581964089745,4.697122373753384,4.856395126199043,4.709663538368028,5.43710811818196,5.43710811818196,5.43710811818196,5.43710811818196
IN,4.387580518540685,5.008874301863547,4.400391645009412,4.598334793398629,4.418175586923512,4.2772609096651735,4.201379671099162,4.31752873051165,4.207603315919083,4.500523059570437,4.270809876279198,3.9522905795640977,4.634183170372754,4.05565887700564,4.975610881427699,4.325837030574825,4.296333556032854,4.303027145862235,4.637571681459249,4.637571681459249,4.637571681459249,4.637571681459249
